block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,text.stopped,wait.stopped,trial.started,fondo.started,cam_inicio_viaje.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,metro_inicio_viaje_text.started,metro_travel_time_text.started,metro_cost_text.started,metro_dens_text.started,metro_users_text.started,uber_inicio_viaje_text.started,uber_travel_time_text.started,uber_cost_text.started,uber_stars_text.started,uber_gender_text.started,uber_record_text.started,respuesta.started,trial.stopped,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,9,2300,13,0,4,1,500,690,33,0,0,0,-1,90,2,1,1,0,0,0,2,97.95848080000724,None,0,0,0,0,0.015307199995731935,,0.012307299999520183,0.015307199995731935,0.2629449999949429,0.199723300000187,0.23143469999195077,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,0.2629449999949429,98.41982419998385,2,97.95848080000724,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,2,15,7800,32,0,5,1,500,1030,18,1,2,1,1,60,1,1,1,1,1,0,2,15.367030199995497,None,0,1,1,1,98.4220679999853,,98.4199968999892,98.4220679999853,98.65692819998367,98.61331499999505,98.6338685999799,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,98.65692819998367,114.0310399000009,2,15.367030199995497,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,2,2,0,3,15.243932999990648,None,0,2,2,2,114.04626589998952,,114.03118520000135,114.04626589998952,114.2523499999952,114.22973560000537,114.2320819000015,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,114.2523499999952,129.49983630000497,3,15.243932999990648,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,3,3,0,2,9.366865699994378,None,0,3,3,3,129.51214750000509,,129.50003299998934,129.51214750000509,129.71875949998503,129.6959091000026,129.6982383999857,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,129.71875949998503,139.10250099998666,2,9.366865699994378,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,5,9,5500,32,1,4,0,500,1030,33,-1,1,3,1,30,3,0,-1,4,4,0,2,51.6607164000161,None,0,4,4,4,139.11188739998033,,139.10263579999446,139.11188739998033,139.31809819999035,139.2952207000053,139.2975380999851,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,139.31809819999035,190.9805417000025,2,51.6607164000161,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,6,15,2300,24,1,3,1,300,1030,33,-1,2,2,1,90,2,0,-1,5,5,0,2,19.28690780000761,None,0,5,5,5,190.99357369999052,,190.98069709999254,190.99357369999052,191.20032959998935,191.17707549998886,191.17939839998144,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,191.20032959998935,210.49618439999176,2,19.28690780000761,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,7,21,5500,32,0,4,1,100,1030,18,-1,0,2,1,90,0,1,0,6,6,0,2,8.74050429998897,None,0,6,6,6,210.50981359998696,,210.49635199998738,210.50981359998696,210.71616769998218,210.69321379999747,210.695596799982,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,210.71616769998218,219.46997879998526,2,8.74050429998897,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,8,9,7800,24,0,5,0,300,690,18,0,2,3,0,30,1,1,0,7,7,0,2,4.4082972000178415,None,0,7,7,7,219.47158169999602,,219.47013839997817,219.47158169999602,219.69376910000574,219.65944689998287,219.66315019998,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,219.69376910000574,224.104591899988,2,4.4082972000178415,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,9,9,2300,32,0,5,0,300,1030,48,0,3,0,-1,60,2,1,-1,8,8,0,2,2.4571545000071637,None,0,8,8,8,224.10745149999275,,224.10472969998955,224.10745149999275,224.3160280000011,224.29297449998558,224.29526889999397,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,224.3160280000011,226.78355510000256,2,2.4571545000071637,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
1,10,15,7800,13,1,4,0,100,870,18,1,1,0,-1,30,1,0,-1,9,9,0,2,10.223140699992655,None,0,9,9,9,226.79249739999068,,226.78372509998735,226.79249739999068,226.99925269998494,226.97626460000174,226.97854209999787,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,226.99925269998494,237.22806609998224,2,10.223140699992655,None,989171,001,2025-11-10_15h58.04.759,v4-funcionando,,2025.1.1,60.01244658886734,2025-11-10 15h58.10.738222 -0300,
