block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light_text.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,9,2300,13,0,4,1,500,690,33,0,0,0,-1,90,2,1,1,0,0,0,2,1.1502195997163653,None,0,0,0,0,0.08040659967809916,,0.07515159994363785,0.08040659967809916,0.20124789979308844,0.20870389975607395,0.22206049971282482,0.22206049971282482,0.22206049971282482,0.22206049971282482,0.22206049971282482,0.22206049971282482,0.22206049971282482,1.3789732996374369,2,1.1502195997163653,None,,650554,001,2025-11-10_01h39.23.707,v4,,2025.1.1,240.00383919658327,2025-11-10 01h39.25.506986 -0300,
1,2,15,7800,32,0,5,1,500,1030,18,1,2,1,1,60,1,1,1,1,1,0,3,0.5469019999727607,None,0,1,1,1,1.380311499349773,,1.3792183995246887,1.380311499349773,1.5637245001271367,1.568253799341619,1.5803127996623516,1.5803127996623516,1.5803127996623516,1.5803127996623516,1.5803127996623516,1.5803127996623516,1.5803127996623516,2.130494499579072,3,0.5469019999727607,None,1.5803127996623516,650554,001,2025-11-10_01h39.23.707,v4,,2025.1.1,240.00383919658327,2025-11-10 01h39.25.506986 -0300,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,2,2,0,2,0.497902300208807,None,0,2,2,2,2.134443299844861,,2.1307509001344442,2.134443299844861,2.317843900062144,2.318809699267149,2.3302640998736024,2.3302640998736024,2.3302640998736024,2.3302640998736024,2.3302640998736024,2.3302640998736024,2.3302640998736024,2.830401699990034,2,0.497902300208807,None,2.3302640998736024,650554,001,2025-11-10_01h39.23.707,v4,,2025.1.1,240.00383919658327,2025-11-10 01h39.25.506986 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,3,3,0,1,0.37693910021334887,None,0,3,3,3,2.834405899979174,,2.8306409996002913,2.834405899979174,3.0178097998723388,3.018730099312961,3.0302246995270252,3.0302246995270252,3.0302246995270252,3.0302246995270252,3.0302246995270252,3.0302246995270252,3.0302246995270252,3.4136993000283837,1,0.37693910021334887,None,3.0302246995270252,650554,001,2025-11-10_01h39.23.707,v4,,2025.1.1,240.00383919658327,2025-11-10 01h39.25.506986 -0300,
1,5,9,5500,32,1,4,0,500,1030,33,-1,1,3,1,30,3,0,-1,4,4,0,3,0.39264990016818047,None,0,4,4,4,3.4177128998562694,,3.413936799392104,3.4177128998562694,3.6011104993522167,3.602045299485326,3.6135342000052333,3.6135342000052333,3.6135342000052333,3.6135342000052333,3.6135342000052333,3.6135342000052333,3.6135342000052333,4.0136726992204785,3,0.39264990016818047,None,3.6135342000052333,650554,001,2025-11-10_01h39.23.707,v4,,2025.1.1,240.00383919658327,2025-11-10 01h39.25.506986 -0300,
1,6,15,2300,24,1,3,1,300,1030,33,-1,2,2,1,90,2,0,-1,5,5,0,3,0.374656000174582,None,0,5,5,5,4.017672100104392,,4.013907599262893,4.017672100104392,4.201077600009739,4.201993099413812,4.213509099557996,4.213509099557996,4.213509099557996,4.213509099557996,4.213509099557996,4.213509099557996,4.213509099557996,4.588647299446166,3,0.374656000174582,None,4.213509099557996,650554,001,2025-11-10_01h39.23.707,v4,,2025.1.1,240.00383919658327,2025-11-10 01h39.25.506986 -0300,
1,7,21,5500,32,0,4,1,100,1030,18,-1,0,2,1,90,0,1,0,6,6,0,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
