block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_inicio_viaje.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,metro_inicio_viaje_text.started,metro_travel_time_text.started,metro_cost_text.started,metro_dens_text.started,metro_users_text.started,uber_inicio_viaje_text.started,uber_travel_time_text.started,uber_cost_text.started,uber_stars_text.started,uber_gender_text.started,uber_record_text.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,9,2300,13,0,4,1,500,690,33,0,0,0,-1,90,2,1,1,0,0,0,2,1.3783641997724771,None,0,0,0,0,0.0822911998257041,,0.07899130042642355,0.0822911998257041,0.20315000042319298,0.21969460044056177,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,0.24913830030709505,1.6432929001748562,2,1.3783641997724771,None,,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,2,15,7800,32,0,5,1,500,1030,18,1,2,1,1,60,1,1,1,1,1,0,3,0.4860682003200054,None,0,1,1,1,1.644654699601233,,1.6434243004769087,1.644654699601233,1.8280675997957587,1.8364671003073454,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,1.861310699954629,2.365705399774015,3,0.4860682003200054,None,1.861310699954629,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,2,2,0,3,0.7092904997989535,None,0,2,2,2,2.3696747003123164,,2.365834799595177,2.3696747003123164,2.5530470004305243,2.5559304002672434,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,2.582102299667895,3.31146000046283,3,0.7092904997989535,None,2.582102299667895,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,3,3,0,3,0.38751540053635836,None,0,3,3,3,3.3154162000864744,,3.311590500175953,3.3154162000864744,3.498806799761951,3.5016700997948647,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.5278941998258233,3.924036200158298,3,0.38751540053635836,None,3.5278941998258233,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,5,9,5500,32,1,4,0,500,1030,33,-1,1,3,1,30,3,0,-1,4,4,0,3,0.31900110002607107,None,0,4,4,4,3.9278666004538536,,3.924187700264156,3.9278666004538536,4.111268799751997,4.114192799665034,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.140369200147688,4.473882200196385,3,0.31900110002607107,None,4.140369200147688,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,6,15,2300,24,1,3,1,300,1030,33,-1,2,2,1,90,2,0,-1,5,5,0,3,0.48905450012534857,None,0,5,5,5,4.477838000282645,,4.474007000215352,4.477838000282645,4.66124050039798,4.66411819960922,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,4.69032740034163,5.190499399788678,3,0.48905450012534857,None,4.69032740034163,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,7,21,5500,32,0,4,1,100,1030,18,-1,0,2,1,90,0,1,0,6,6,0,3,0.41238189954310656,None,0,6,6,6,5.194467700086534,,5.190629900433123,5.194467700086534,5.377978299744427,5.381951999850571,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.406975699588656,5.823822299949825,3,0.41238189954310656,None,5.406975699588656,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,8,9,7800,24,0,5,0,300,690,18,0,2,3,0,30,1,1,0,7,7,0,2,0.34740110021084547,None,0,7,7,7,5.827775199897587,,5.823947899974883,5.827775199897587,6.011169300414622,6.014015999622643,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.04025449976325,6.39887769985944,2,0.34740110021084547,None,6.04025449976325,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,9,9,2300,32,0,5,0,300,1030,48,0,3,0,-1,60,2,1,-1,8,8,0,1,0.27623349986970425,None,0,8,8,8,6.4027428003028035,,6.399012300185859,6.4027428003028035,6.586154100485146,6.589021399617195,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.615232000127435,6.907109799794853,1,0.27623349986970425,None,6.615232000127435,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,10,15,7800,13,1,4,0,100,870,18,1,1,0,-1,30,1,0,-1,9,9,0,2,0.3118529003113508,None,0,9,9,9,6.911044100299478,,6.907234899699688,6.911044100299478,7.094452399760485,7.097319999709725,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.123533300124109,7.436226800084114,2,0.3118529003113508,None,7.123533300124109,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,11,15,5500,24,0,3,1,100,690,48,1,2,3,0,60,0,0,0,10,10,0,3,0.34466859977692366,None,0,10,10,10,7.440182000398636,,7.4363537998870015,7.440182000398636,7.623592199757695,7.626464099623263,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,7.652689700014889,8.011224900372326,3,0.34466859977692366,None,7.652689700014889,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
1,12,21,2300,32,1,3,1,300,870,33,1,1,2,0,30,2,1,1,11,11,0,2,0.5837094997987151,None,0,11,11,11,8.015154900029302,,8.011356299743056,8.015154900029302,8.198559399694204,8.201423999853432,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.22765289992094,8.832007500343025,2,0.5837094997987151,None,8.22765289992094,621999,001,2025-11-10_01h54.48.059,v4,,2025.1.1,239.91516847859577,2025-11-10 01h54.50.670780 -0300,
