block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_inicio_viaje.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,metro_inicio_viaje_text.started,metro_travel_time_text.started,metro_cost_text.started,metro_dens_text.started,metro_users_text.started,uber_inicio_viaje_text.started,uber_travel_time_text.started,uber_cost_text.started,uber_stars_text.started,uber_gender_text.started,uber_record_text.started,respuesta.started,trial.stopped,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,9,2300,13,0,4,1,500,690,33,0,0,0,-1,90,2,1,1,0,0,0,2,3.3699020999774802,None,0,0,0,0,0.01605469998321496,,0.013560599996708333,0.01605469998321496,0.2150612999976147,0.23164419998647645,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,0.2589172000007238,3.700748700008262,2,3.3699020999774802,None,,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,2,15,7800,32,0,5,1,500,1030,18,1,2,1,1,60,1,1,1,1,1,0,2,0.25371190000441857,None,0,1,1,1,3.7028647999977693,,3.700882899982389,3.7028647999977693,3.895075300009921,3.904473300004611,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,3.942614900006447,4.212967900006333,2,0.25371190000441857,None,3.942614900006447,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,2,2,0,3,0.3378413000027649,None,0,2,2,2,4.227293700008886,,4.213101900008041,4.227293700008886,4.41074709998793,4.417284299997846,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.437999799993122,4.781319500005338,3,0.3378413000027649,None,4.437999799993122,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,3,3,0,3,0.2899360000155866,None,0,3,3,3,4.793130799982464,,4.781484000006458,4.793130799982464,4.977857099991525,4.979762100003427,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,4.998647200001869,5.301174199994421,3,0.2899360000155866,None,4.998647200001869,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,5,9,5500,32,1,4,0,500,1030,33,-1,1,3,1,30,3,0,-1,4,4,0,3,0.2707538999966346,None,0,4,4,4,5.3092726999893785,,5.301312399999006,5.3092726999893785,5.493033799983095,5.495450599992182,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.515583500004141,5.8051915999967605,3,0.2707538999966346,None,5.515583500004141,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,6,15,2300,24,1,3,1,300,1030,33,-1,2,2,1,90,2,0,-1,5,5,0,3,0.1260269999911543,None,0,5,5,5,5.807060299994191,,5.805323299980955,5.807060299994191,5.992168400000082,5.995644099981291,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.018342299998039,6.161920799990185,3,0.1260269999911543,None,6.018342299998039,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,7,21,5500,32,0,4,1,100,1030,18,-1,0,2,1,90,0,1,0,6,6,0,3,0.15356279999832623,None,0,6,6,6,6.174995100009255,,6.162059299997054,6.174995100009255,6.358693099988159,6.36101019999478,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.400252999999793,6.555692699999781,3,0.15356279999832623,None,6.400252999999793,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,8,9,7800,24,0,5,0,300,690,18,0,2,3,0,30,1,1,0,7,7,0,3,0.20918529998743907,None,0,7,7,7,6.557991699984996,,6.555872400000226,6.557991699984996,6.741485000005923,6.747300999995787,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,6.774219199985964,7.000968699983787,3,0.20918529998743907,None,6.774219199985964,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,9,9,2300,32,0,5,0,300,1030,48,0,3,0,-1,60,2,1,-1,8,8,0,1,0.30073399998946115,None,0,8,8,8,7.007332000008319,,7.001098299981095,7.007332000008319,7.1912303999997675,7.196835499984445,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.220105999993393,7.551386699982686,1,0.30073399998946115,None,7.220105999993393,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
1,10,15,7800,13,1,4,0,100,870,18,1,1,0,-1,30,1,0,-1,9,9,0,2,0.3563397999969311,None,0,9,9,9,7.553668399981689,,7.551615500007756,7.553668399981689,7.740633699984755,7.7427468999812845,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,7.76779839998926,8.125290700001642,2,0.3563397999969311,None,7.76779839998926,352927,001,2025-11-10_15h37.44.655,v4-funcionando,,2025.2.1,60.0634871033248,2025-11-10 15h37.45.438173 -0300,
