block,pid,task,hora,uber_travel_time,uber_cost,uber_driver_gender,uber_record,uber_stars,uber_travels,metro_travel_time,metro_cost,metro_users,metro_camaras,metro_guardias,metro_tech,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,metro_camaras_roi.numLooks,metro_camaras_roi.timesOn,metro_camaras_roi.timesOff,metro_guardias_roi.numLooks,metro_guardias_roi.timesOn,metro_guardias_roi.timesOff,metro_tech_roi.numLooks,metro_tech_roi.timesOn,metro_tech_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_driver_gender_roi.numLooks,uber_driver_gender_roi.timesOn,uber_driver_gender_roi.timesOff,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_travels_roi.numLooks,uber_travels_roi.timesOn,uber_travels_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_users_text.started,metro_camaras_text.started,metro_guardias_text.started,metro_tech_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_driver_gender_text.started,uber_record_text.started,uber_stars_text.started,uber_travels_text.started,hora_inicio_viaje_roi.started,metro_cost_roi.started,metro_travel_time_roi.started,metro_users_roi.started,metro_camaras_roi.started,metro_guardias_roi.started,metro_tech_roi.started,uber_cost_roi.started,uber_travel_time_roi.started,uber_driver_gender_roi.started,uber_record_roi.started,uber_stars_roi.started,uber_travels_roi.started,respuesta.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.metro_camaras_roi.numLooks,task.metro_camaras_roi.timesOn,task.metro_camaras_roi.timesOff,task.metro_guardias_roi.numLooks,task.metro_guardias_roi.timesOn,task.metro_guardias_roi.timesOff,task.metro_tech_roi.numLooks,task.metro_tech_roi.timesOn,task.metro_tech_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_driver_gender_roi.numLooks,task.uber_driver_gender_roi.timesOn,task.uber_driver_gender_roi.timesOff,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_travels_roi.numLooks,task.uber_travels_roi.timesOn,task.uber_travels_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,2,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,3.542523899988737,None,0,0,0,0,0.041306499973870814,,0.022470700001576915,0.041306499973870814,0.02210119998198934,0.21066319997771643,0.27664809999987483,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,0.3301595999801066,3.904739099991275,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,3.542523899988737,None,,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,4.229784900002414,None,0,1,1,1,3.924559999984922,,3.9050706999842077,3.924559999984922,0.00020619999850168824,4.109928099991521,4.1150827999808826,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,4.142305699991994,8.38085659997887,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,4.229784900002414,None,,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,3,Tarde (12:00-19:00),13,2300,Hombre,Sí,4.0 - 4.4,>1000,48,690,Todas mujeres,Sí,No,Tren antiguo (Ej: L1),2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.8108690000080969,None,0,2,2,2,8.391648799995892,,8.381163699988974,8.391648799995892,0.00019500000053085387,8.577154200000223,8.585243499983335,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,8.610439699987182,9.447718999988865,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.8108690000080969,None,8.610439699987182,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,4,Mañana (9:00-12:00),32,5500,Hombre,No,4.0 - 4.4,500-1000,18,1030,Mayoritariamente hombres,Sí,No,Tren nuevo (Ej: L3),3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,5.731845999980578,None,0,3,3,3,9.457860800001072,,9.448030300001847,9.457860800001072,0.0001928999845404178,9.64408800000092,9.646972799993819,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,9.674581399973249,15.41465099999914,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,5.731845999980578,None,9.674581399973249,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,5,Tarde (12:00-19:00),32,5500,Mujer,No,4.5 - 4.7,<500,33,690,Igual proporción,No,Sí,Tren antiguo (Ej: L1),4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,2.1117797999759205,None,0,4,4,4,15.424870499991812,,15.414943299983861,15.424870499991812,0.00018360000103712082,15.610087799985195,15.613975299987942,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,15.641750199982198,17.78087729998515,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,2.1117797999759205,None,15.641750199982198,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,6,Tarde (12:00-19:00),24,7800,Mujer,No,4.5 - 4.7,<500,18,870,Todas mujeres,Sí,No,Tren nuevo (Ej: L3),5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,1.5877739999850746,None,0,5,5,5,17.791486199974315,,17.78116169999703,17.791486199974315,0.00017479999223724008,17.9774713999941,17.980017900001258,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,18.007504799985327,19.61401359998854,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,1.5877739999850746,None,18.007504799985327,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,7,Noche (19:00-23:00,24,5500,Hombre,Sí,4.0 - 4.4,<500,48,1030,Mayoritariamente mujeres,No,Sí,Tren antiguo (Ej: L1),6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.5913498000008985,None,0,6,6,6,19.624492099974304,,19.61437689999002,19.624492099974304,0.00022590000298805535,19.809826099983184,19.812393799977144,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,19.841264599992428,20.447677999996813,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.5913498000008985,None,19.841264599992428,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,2,8,Mañana (9:00-12:00),24,2300,Mujer,Sí,4.8 - 5.0,>1000,18,690,Mayoritariamente hombres,No,Sí,Tren nuevo (Ej: L3),7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3551678000076208,None,0,7,7,7,20.45780720000039,,20.447997599985683,20.45780720000039,0.00018580001778900623,20.643270200002007,20.645891099993605,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,20.67453749998822,21.047432299994398,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3551678000076208,None,20.67453749998822,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3825666999910027,None,0,8,8,8,21.05797869997332,,21.04773279998335,21.05797869997332,0.00018989999080076814,21.243095999991056,21.245569599996088,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.27457389998017,21.681001599994488,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.3825666999910027,None,21.27457389998017,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.36713259998941794,None,0,9,9,9,21.69101629999932,,21.68129169999156,21.69101629999932,0.00017519999528303742,21.876781599974493,21.879565799987176,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,21.90781989999232,22.28081129997736,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.36713259998941794,None,21.90781989999232,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,3,Tarde (12:00-19:00),13,2300,Hombre,Sí,4.0 - 4.4,>1000,48,690,Todas mujeres,Sí,No,Tren antiguo (Ej: L1),10,10,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.46914230001857504,None,0,10,10,10,22.291097199980868,,22.281115999998292,22.291097199980868,0.00018780000391416252,22.476263499993365,22.47879870000179,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.50774139998248,22.98107759997947,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.46914230001857504,None,22.50774139998248,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,4,Mañana (9:00-12:00),32,5500,Hombre,No,4.0 - 4.4,500-1000,18,1030,Mayoritariamente hombres,Sí,No,Tren nuevo (Ej: L3),11,11,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.40597280001384206,None,0,11,11,11,22.99114679999184,,22.981365999992704,22.99114679999184,0.00017499999376013875,23.176284799992573,23.17898269998841,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.207636599981925,23.64735909999581,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.40597280001384206,None,23.207636599981925,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,5,Tarde (12:00-19:00),32,5500,Mujer,No,4.5 - 4.7,<500,33,690,Igual proporción,No,Sí,Tren antiguo (Ej: L1),12,12,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.27192310002283193,None,0,12,12,12,23.65785399999004,,23.647675799991703,23.65785399999004,0.00017929999739862978,23.84308809999493,23.845573099999456,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,23.874157599988393,24.1478268999781,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,a,0.27192310002283193,None,23.874157599988393,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,6,Tarde (12:00-19:00),24,7800,Mujer,No,4.5 - 4.7,<500,18,870,Todas mujeres,Sí,No,Tren nuevo (Ej: L3),13,13,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,1.492616299976362,None,0,13,13,13,24.15793589997338,,24.14811319997534,24.15793589997338,0.00018210001871921122,24.34298669997952,24.34542829997372,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,24.37428259997978,25.881360899977153,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,1.492616299976362,None,24.37428259997978,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,7,Noche (19:00-23:00,24,5500,Hombre,Sí,4.0 - 4.4,<500,48,1030,Mayoritariamente mujeres,No,Sí,Tren antiguo (Ej: L1),14,14,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.2403516999911517,None,0,14,14,14,25.89089249999961,,25.88168059999589,25.89089249999961,0.00019200000679120421,26.076564399991184,26.079341399978148,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.10745029998361,26.38045189998229,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.2403516999911517,None,26.10745029998361,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
1,4,8,Mañana (9:00-12:00),24,2300,Mujer,Sí,4.8 - 5.0,>1000,18,690,Mayoritariamente hombres,No,Sí,Tren nuevo (Ej: L3),15,15,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.27153549998183735,None,0,15,15,15,26.39100159998634,,26.380738399981055,26.39100159998634,0.0001776000135578215,26.576214699976845,26.579024599981494,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.60810610000044,26.88108559997636,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,b,0.27153549998183735,None,26.60810610000044,,,,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.881330499978503,0.9946925000112969,27.87664709999808,pilot,001,2025-11-21_17h45.50.690,v6-eye,,2025.1.1,60.029666653046036,2025-11-21 17h45.57.907233 -0300,
