thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light_text.started,cam_travel_time_text.started,cam_cost_text.started,cam_dens_text.started,cam_sec_text.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,1,0.3911410002037883,None,0,0,0,0,0.07394229993224144,,0.06943279970437288,0.07394229993224144,0.20313819963485003,0.20384390000253916,0.21559519972652197,0.21559519972652197,0.21559519972652197,0.21559519972652197,0.21559519972652197,0.21559519972652197,0.21559519972652197,0.6099514998495579,1,0.3911410002037883,None,,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
1,0,1,2,0.7391952006146312,None,1,0,1,0,0.6155663998797536,,0.6101596998050809,0.6155663998797536,0.799040699377656,0.7997383996844292,0.8114275000989437,0.8114275000989437,0.8114275000989437,0.8114275000989437,0.8114275000989437,0.8114275000989437,0.8114275000989437,1.5531955994665623,2,0.7391952006146312,None,0.8114275000989437,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
2,0,2,3,0.2856344999745488,None,2,0,2,0,1.557184999808669,,1.5534109994769096,1.557184999808669,1.7406016001477838,1.7413058998063207,1.7530167996883392,1.7530167996883392,1.7530167996883392,1.7530167996883392,1.7530167996883392,1.7530167996883392,1.7530167996883392,2.044832699932158,3,0.2856344999745488,None,1.7530167996883392,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
3,0,3,2,0.2900125999003649,None,3,0,3,0,2.0488248001784086,,2.0451028998941183,2.0488248001784086,2.232237500138581,2.2329377001151443,2.244646199978888,2.244646199978888,2.244646199978888,2.244646199978888,2.244646199978888,2.244646199978888,2.244646199978888,2.5364610999822617,2,0.2900125999003649,None,2.244646199978888,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
4,0,4,1,0.2643467001616955,None,4,0,4,0,2.5404658997431397,,2.5366559997200966,2.5404658997431397,2.723869299516082,2.724574899300933,2.7362926993519068,2.7362926993519068,2.7362926993519068,2.7362926993519068,2.7362926993519068,2.7362926993519068,2.7362926993519068,3.003165199421346,1,0.2643467001616955,None,2.7362926993519068,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
5,0,5,2,0.3795630997046828,None,5,0,5,0,3.007105899974704,,3.0034360997378826,3.007105899974704,3.1908078994601965,3.1915306001901627,3.203100599348545,3.203100599348545,3.203100599348545,3.203100599348545,3.203100599348545,3.203100599348545,3.203100599348545,3.5907813999801874,2,0.3795630997046828,None,3.203100599348545,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
6,0,6,3,0.28004049975425005,None,6,0,6,0,3.5947628999128938,,3.590976399369538,3.5947628999128938,3.7781358994543552,3.778833500109613,3.790594299323857,3.790594299323857,3.790594299323857,3.790594299323857,3.790594299323857,3.790594299323857,3.790594299323857,4.078324199654162,3,0.28004049975425005,None,3.790594299323857,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
7,0,7,1,0.20264989975839853,None,7,0,7,0,4.082198199816048,,4.0785320000723,4.082198199816048,4.265713999979198,4.266436199657619,4.278049100190401,4.278049100190401,4.278049100190401,4.278049100190401,4.278049100190401,4.278049100190401,4.278049100190401,4.490682499483228,1,0.20264989975839853,None,4.278049100190401,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
8,0,8,1,0.39611269999295473,None,8,0,8,0,4.494692699983716,,4.490877099335194,4.494692699983716,4.678111599758267,4.678807799704373,4.690536399371922,4.690536399371922,4.690536399371922,4.690536399371922,4.690536399371922,4.690536399371922,4.690536399371922,5.090676499530673,1,0.39611269999295473,None,4.690536399371922,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
9,0,9,2,0.29206200037151575,None,9,0,9,0,5.094665799289942,,5.090870199725032,5.094665799289942,5.278065400198102,5.278748699463904,5.290536999702454,5.290536999702454,5.290536999702454,5.290536999702454,5.290536999702454,5.290536999702454,5.290536999702454,5.5906378999352455,2,0.29206200037151575,None,5.290536999702454,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
10,0,10,3,0.049198600463569164,None,10,0,10,0,5.594633899629116,,5.5908377999439836,5.594633899629116,5.77807329967618,5.778786299750209,5.790494400076568,5.790494400076568,5.790494400076568,5.790494400076568,5.790494400076568,5.790494400076568,5.790494400076568,5.841351400129497,3,0.049198600463569164,None,5.790494400076568,749863,001,2025-11-10_01h28.47.436,v3,,2025.1.1,239.94394777314005,2025-11-10 01h28.49.234082 -0300,
