thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light.started,cam_travel_time.started,cam_cost.started,cam_dens.started,cam_sec.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,2,0.9783590994775295,None,0,0,0,0,0.08018030039966106,,0.0751857003197074,0.08018030039966106,0.20104470010846853,0.20174860022962093,0.21351070050150156,0.21351070050150156,0.21351070050150156,0.21351070050150156,0.21351070050150156,0.21351070050150156,0.21351070050150156,1.1953405002132058,2,0.9783590994775295,None,,806947,001,2025-11-10_01h21.34.530,v3,,2025.1.1,240.09719253081516,2025-11-10 01h21.36.648848 -0300,
1,0,1,,,,1,0,1,0,1.2009554002434015,,1.195507399737835,1.2009554002434015,1.3844210002571344,,,,,,,,,,,,,,,,,,,,,,
