block,pid,task,hora,uber_travel_time,uber_cost,uber_driver_gender,uber_record,uber_stars,uber_travels,metro_travel_time,metro_cost,metro_users,metro_camaras,metro_guardias,metro_tech,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,metro_cost_roi.numLooks,metro_cost_roi.timesOn,metro_cost_roi.timesOff,metro_travel_time_roi.numLooks,metro_travel_time_roi.timesOn,metro_travel_time_roi.timesOff,metro_users_roi.numLooks,metro_users_roi.timesOn,metro_users_roi.timesOff,metro_camaras_roi.numLooks,metro_camaras_roi.timesOn,metro_camaras_roi.timesOff,metro_guardias_roi.numLooks,metro_guardias_roi.timesOn,metro_guardias_roi.timesOff,metro_tech_roi.numLooks,metro_tech_roi.timesOn,metro_tech_roi.timesOff,uber_cost_roi.numLooks,uber_cost_roi.timesOn,uber_cost_roi.timesOff,uber_travel_time_roi.numLooks,uber_travel_time_roi.timesOn,uber_travel_time_roi.timesOff,uber_driver_gender_roi.numLooks,uber_driver_gender_roi.timesOn,uber_driver_gender_roi.timesOff,uber_driver_gender_roi.dwellTime,uber_record_roi.numLooks,uber_record_roi.timesOn,uber_record_roi.timesOff,uber_record_roi.dwellTime,uber_stars_roi.numLooks,uber_stars_roi.timesOn,uber_stars_roi.timesOff,uber_travels_roi.numLooks,uber_travels_roi.timesOn,uber_travels_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_users_text.started,metro_camaras_text.started,metro_guardias_text.started,metro_tech_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_driver_gender_text.started,uber_record_text.started,uber_stars_text.started,uber_travels_text.started,hora_inicio_viaje_roi.started,metro_cost_roi.started,metro_travel_time_roi.started,metro_users_roi.started,metro_camaras_roi.started,metro_guardias_roi.started,metro_tech_roi.started,uber_cost_roi.started,uber_travel_time_roi.started,uber_driver_gender_roi.started,uber_record_roi.started,uber_stars_roi.started,uber_travels_roi.started,respuesta.started,mouse.started,etRecord.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.metro_cost_roi.numLooks,task.metro_cost_roi.timesOn,task.metro_cost_roi.timesOff,task.metro_travel_time_roi.numLooks,task.metro_travel_time_roi.timesOn,task.metro_travel_time_roi.timesOff,task.metro_users_roi.numLooks,task.metro_users_roi.timesOn,task.metro_users_roi.timesOff,task.metro_camaras_roi.numLooks,task.metro_camaras_roi.timesOn,task.metro_camaras_roi.timesOff,task.metro_guardias_roi.numLooks,task.metro_guardias_roi.timesOn,task.metro_guardias_roi.timesOff,task.metro_tech_roi.numLooks,task.metro_tech_roi.timesOn,task.metro_tech_roi.timesOff,task.uber_cost_roi.numLooks,task.uber_cost_roi.timesOn,task.uber_cost_roi.timesOff,task.uber_travel_time_roi.numLooks,task.uber_travel_time_roi.timesOn,task.uber_travel_time_roi.timesOff,task.uber_driver_gender_roi.numLooks,task.uber_driver_gender_roi.timesOn,task.uber_driver_gender_roi.timesOff,task.uber_driver_gender_roi.dwellTime,task.uber_record_roi.numLooks,task.uber_record_roi.timesOn,task.uber_record_roi.timesOff,task.uber_record_roi.dwellTime,task.uber_stars_roi.numLooks,task.uber_stars_roi.timesOn,task.uber_stars_roi.timesOff,task.uber_travels_roi.numLooks,task.uber_travels_roi.timesOn,task.uber_travels_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,task.mouse.x,task.mouse.y,task.mouse.leftButton,task.mouse.midButton,task.mouse.rightButton,task.mouse.time,text.stopped,end.started,etRecord_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,2,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[10.085047899978235],[10.183999100001529],0.0989512000232935,2,"[11.118246500001987, 11.584069000004092]","[11.151499999978114, 11.650462999998126]",0.09964749997016042,0,,,0,,,b,15.387007299985271,None,"[np.float64(-0.22347266881028938), np.float64(0.45391211146838156), np.float64(0.43354769560557344), np.float64(-0.3145766345123258), np.float64(-0.3145766345123258), np.float64(-0.21489817792068597), np.float64(-0.21489817792068597), np.float64(-0.21489817792068597), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018)]","[np.float64(0.25241157556270094), np.float64(0.25133976420150056), np.float64(0.14844587352625938), np.float64(0.15380493033226153), np.float64(0.15380493033226153), np.float64(0.08413719185423366), np.float64(0.08413719185423366), np.float64(0.08413719185423366), np.float64(0.17845659163987138), np.float64(0.16988210075026794), np.float64(0.16881028938906753), np.float64(0.16881028938906753), np.float64(0.16881028938906753), np.float64(0.16881028938906753), np.float64(0.1677384780278671)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1.3003401999885682, 2.1665992999915034, 2.7343228999816347, 10.549469899997348, 10.749055899999803, 11.749504099978367, 11.948294200003147, 12.148782299977029, 12.382281199999852, 12.866971399984322, 13.000012499978766, 13.029287599987583, 13.231596500001615, 13.398749799991492, 13.565052999998443]",0,0,0,0,0.024580400000559166,,0.013827999995555729,0.024580400000559166,0.20808609999949113,0.2596246000030078,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.2968115000112448,0.05929509998532012,0.05929509998532012,15.698309600003995,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,[10.085047899978235],[10.183999100001529],0.0989512000232935,2,"[11.118246500001987, 11.584069000004092]","[11.151499999978114, 11.650462999998126]",0.09964749997016042,0,,,0,,,b,15.387007299985271,None,"[np.float64(-0.22347266881028938), np.float64(0.45391211146838156), np.float64(0.43354769560557344), np.float64(-0.3145766345123258), np.float64(-0.3145766345123258), np.float64(-0.21489817792068597), np.float64(-0.21489817792068597), np.float64(-0.21489817792068597), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018), np.float64(-0.2545551982851018)]","[np.float64(0.25241157556270094), np.float64(0.25133976420150056), np.float64(0.14844587352625938), np.float64(0.15380493033226153), np.float64(0.15380493033226153), np.float64(0.08413719185423366), np.float64(0.08413719185423366), np.float64(0.08413719185423366), np.float64(0.17845659163987138), np.float64(0.16988210075026794), np.float64(0.16881028938906753), np.float64(0.16881028938906753), np.float64(0.16881028938906753), np.float64(0.16881028938906753), np.float64(0.1677384780278671)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1.3003401999885682, 2.1665992999915034, 2.7343228999816347, 10.549469899997348, 10.749055899999803, 11.749504099978367, 11.948294200003147, 12.148782299977029, 12.382281199999852, 12.866971399984322, 13.000012499978766, 13.029287599987583, 13.231596500001615, 13.398749799991492, 13.565052999998443]",,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.27702740000677295,None,[],[],[],[],[],[],0,1,1,1,15.707746600004612,,15.698909500002628,15.707746600004612,15.89093250001315,15.904598799999803,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,15.942172100010794,0.005910699983360246,0.005910699983360246,16.24552510000649,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.27702740000677295,None,[],[],[],[],[],[],15.942172100010794,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,3,Tarde (12:00-19:00),13,2300,Hombre,Sí,4.0 - 4.4,>1000,48,690,Todas mujeres,Sí,No,Tren antiguo (Ej: L1),2,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.2773124999948777,None,[],[],[],[],[],[],0,2,2,2,16.25746279998566,,16.24589570000535,16.25746279998566,16.44084379999549,16.462831599987112,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,16.49415409998619,0.017168099991977215,0.017168099991977215,16.795544900000095,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.2773124999948777,None,[],[],[],[],[],[],16.49415409998619,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,4,Mañana (9:00-12:00),32,5500,Hombre,No,4.0 - 4.4,500-1000,18,1030,Mayoritariamente hombres,Sí,No,Tren nuevo (Ej: L3),3,3,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,1.8180945999920368,None,[],[],[],[],[],[],0,3,3,3,16.80730539999786,,16.795912400004454,16.80730539999786,16.991036199993687,16.99584230000619,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,17.02449529999285,0.00015229996643029153,0.00015229996643029153,18.862304400012363,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,1.8180945999920368,None,[],[],[],[],[],[],17.02449529999285,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,5,Tarde (12:00-19:00),32,5500,Mujer,No,4.5 - 4.7,<500,33,690,Igual proporción,No,Sí,Tren antiguo (Ej: L1),4,4,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,a,1.2297271999996156,None,[],[],[],[],[],[],0,4,4,4,18.873975299997255,,18.862642799998866,18.873975299997255,19.057560799992643,19.062092999985907,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,19.09125649998896,-0.00033900002017617226,-0.00033900002017617226,20.329077000002144,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,a,1.2297271999996156,None,[],[],[],[],[],[],19.09125649998896,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,6,Tarde (12:00-19:00),24,7800,Mujer,No,4.5 - 4.7,<500,18,870,Todas mujeres,Sí,No,Tren nuevo (Ej: L3),5,5,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,a,0.492620100005297,None,[],[],[],[],[],[],0,5,5,5,20.340669800003525,,20.329427699994994,20.340669800003525,20.5242944000056,20.5269285000104,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,20.557404699997278,0.028456799976993352,0.028456799976993352,21.06174919998739,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,a,0.492620100005297,None,[],[],[],[],[],[],20.557404699997278,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,7,Noche (19:00-23:00,24,5500,Hombre,Sí,4.0 - 4.4,<500,48,1030,Mayoritariamente mujeres,No,Sí,Tren antiguo (Ej: L1),6,6,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.18343429997912608,None,[],[],[],[],[],[],0,6,6,6,21.07371900000726,,21.062088400009088,21.07371900000726,21.257612799992785,21.260713800002122,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,21.29070270000375,0.02912260001176037,0.02912260001176037,21.495597400004044,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.18343429997912608,None,[],[],[],[],[],[],21.29070270000375,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,2,8,Mañana (9:00-12:00),24,2300,Mujer,Sí,4.8 - 5.0,>1000,18,690,Mayoritariamente hombres,No,Sí,Tren nuevo (Ej: L3),7,7,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.22777170001063496,None,[],[],[],[],[],[],0,7,7,7,21.5074922000058,,21.49593899998581,21.5074922000058,21.690853700012667,21.69378579998738,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,21.72418019999168,0.02866589999757707,0.02866589999757707,21.962100800010376,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.22777170001063496,None,[],[],[],[],[],[],21.72418019999168,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,4,1,Mañana (9:00-12:00),24,2300,Mujer,No,4.5 - 4.7,500-1000,48,1030,Igual proporción,Sí,Sí,Tren nuevo (Ej: L3),8,8,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,a,0.32798030000412837,None,[],[],[],[],[],[],0,8,8,8,21.973987800010946,,21.962437100009993,21.973987800010946,22.157667499996023,22.160185399989132,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,22.190909199998714,0.02890320000005886,0.02890320000005886,22.528613800008316,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,a,0.32798030000412837,None,[],[],[],[],[],[],22.190909199998714,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
1,4,2,Noche (19:00-23:00,13,2300,Mujer,No,4.8 - 5.0,500-1000,48,870,Mayoritariamente mujeres,No,No,Tren nuevo (Ej: L3),9,9,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.8279022999922745,None,[],[],[],[],[],[],0,9,9,9,22.540679400000954,,22.52894180000294,22.540679400000954,22.724268999998458,22.72690700000385,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,22.75756269998965,0.02905429998645559,0.02905429998645559,23.595544799987692,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,,,0,,,b,0.8279022999922745,None,[],[],[],[],[],[],22.75756269998965,,,,319549,001,2025-11-21_18h08.04.859,v6-eye,,2025.1.1,59.937305578945185,2025-11-21 18h08.12.711748 -0300,
