block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,hora_inicio_viaje_roi.numLooks,hora_inicio_viaje_roi.timesOn,hora_inicio_viaje_roi.timesOff,respuesta.keys,respuesta.rt,respuesta.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,etRecord.started,wait.stopped,trial.started,fondo.started,hora_inicio_viaje_text.started,cam_cost_text.started,cam_travel_time_text.started,cam_dens_text.started,cam_light_text.started,cam_sec_text.started,metro_cost_text.started,metro_travel_time_text.started,metro_dens_text.started,metro_inf_text.started,metro_guards_text.started,metro_users_text.started,uber_cost_text.started,uber_travel_time_text.started,uber_stars_text.started,uber_gender_text.started,uber_travels_text.started,uber_record_text.started,hora_inicio_viaje_roi.started,respuesta.started,trial.stopped,task.hora_inicio_viaje_roi.numLooks,task.hora_inicio_viaje_roi.timesOn,task.hora_inicio_viaje_roi.timesOff,task.respuesta.keys,task.respuesta.rt,task.respuesta.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,1,Mañana (6:00-12:00),2300,13,Masculino,4.0,Viaje Grabado,500,690,33,None,0,0,Baja,90,Presencia policial,1,Alta,0,0,0,0,,,b,5.783040799999071,None,0,0,0,0,0.01920310000059544,,0.014825300000666175,0.01920310000059544,0.014476800000920775,0.20500800000081654,0.31796249999933934,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,0.3568302000003314,6.153642299999774,0,,,b,5.783040799999071,None,,827247,001,2025-11-10_23h50.51.564,v5-eye,,2025.1.1,59.990089637459704,2025-11-10 23h50.59.585440 -0300,
1,2,Tarde (15:00-19:00),7800,32,Masculino,5.0,Viaje Grabado,500,1030,18,Más pax. hombres,2,1,Alta,60,Camaras via publica,1,Alta,1,1,0,0,,,b,0.9856180999995559,None,0,1,1,1,6.1563201999997545,,6.153859599999123,6.1563201999997545,0.00020559999938996043,6.35493569999926,6.375240299999859,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,6.402843100000609,7.409079900000506,0,,,b,0.9856180999995559,None,,827247,001,2025-11-10_23h50.51.564,v5-eye,,2025.1.1,59.990089637459704,2025-11-10 23h50.59.585440 -0300,
1,3,Noche (19:00-23:00),5500,13,Femenino,4.0,Sin camaras,100,690,33,Más pax. mujeres,3,1,Media,60,Policia + camaras,1,Media,2,2,0,0,,,a,0.40053250000164553,None,0,2,2,2,7.4117198000003555,,7.40931190000083,7.4117198000003555,0.00019459999930404592,7.605081300000165,7.616184799999246,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,7.642627100000027,8.051638299999468,0,,,a,0.40053250000164553,None,7.642627100000027,827247,001,2025-11-10_23h50.51.564,v5-eye,,2025.1.1,59.990089637459704,2025-11-10 23h50.59.585440 -0300,
1,4,Tarde (15:00-19:00),5500,13,Masculino,5.0,Viaje Grabado,500,870,33,None,3,2,Alta,60,Camaras via publica,0,Baja,3,3,0,0,,,a,1.3665134999992006,None,0,3,3,3,8.05459300000075,,8.051827299999786,8.05459300000075,0.00017159999879368115,8.239441600000646,8.243017099999634,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,8.26805880000029,9.652206299999307,0,,,a,1.3665134999992006,None,8.26805880000029,827247,001,2025-11-10_23h50.51.564,v5-eye,,2025.1.1,59.990089637459704,2025-11-10 23h50.59.585440 -0300,
1,5,Mañana (6:00-12:00),5500,32,Femenino,4.0,Sin camaras,500,1030,33,Más pax. hombres,1,3,Alta,30,Policia + camaras,0,Baja,4,4,0,0,,,c,0.6758554999996704,None,0,4,4,4,9.654530699999668,,9.652358999999706,9.654530699999668,0.00013310000031196978,9.838315700000749,9.842268899999908,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,9.866685700000744,10.550161600000138,0,,,c,0.6758554999996704,None,9.866685700000744,827247,001,2025-11-10_23h50.51.564,v5-eye,,2025.1.1,59.990089637459704,2025-11-10 23h50.59.585440 -0300,
1,6,Tarde (15:00-19:00),2300,24,Femenino,4.5,Viaje Grabado,300,1030,33,Más pax. hombres,2,2,Alta,90,Presencia policial,0,Baja,5,5,0,,,,,,,0,5,5,5,10.552763100000448,,10.550311400000282,10.552763100000448,0.00013109999963489827,10.73933770000076,10.74304950000078,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,10.770226000000548,,,,,,,,10.770226000000548,,,,,,,,,
