block,task,hora,uber_cost,uber_travel_time,uber_driver_gender,uber_stars,uber_record,uber_travels,metro_cost,metro_travel_time,metro_users,metro_inf,metro_guards,metro_dens,cam_travel_time,cam_sec,cam_light,cam_dens,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light.started,cam_travel_time.started,cam_cost.started,cam_dens.started,cam_sec.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,3,21,5500,13,1,4,0,100,690,33,1,3,1,0,60,3,1,0,0,0,0,1,1.524779099971056,None,0,0,0,0,0.0862818993628025,,0.08276669960469007,0.0862818993628025,1.002938499674201,1.0036400994285941,1.01538709923625,1.01538709923625,1.01538709923625,1.01538709923625,1.01538709923625,1.01538709923625,1.01538709923625,2.5429962994530797,1,1.524779099971056,None,,832629,001,2025-11-10_01h19.36.984,v3,,2025.1.1,239.8990501578609,2025-11-10 01h19.39.476406 -0300,
1,4,15,5500,13,0,5,1,500,870,33,0,3,2,1,60,1,0,-1,1,1,0,,,,0,1,1,1,2.5486364997923374,,2.543206799775362,2.5486364997923374,3.5321663999930024,,,,,,,,,,,,,,,,,,,,,,
