thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light.started,cam_travel_time.started,cam_cost.started,cam_dens.started,cam_sec.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,2,0.25088930036872625,None,0,0,0,0,0.08086620084941387,,0.07506550010293722,0.08086620084941387,1.0017590001225471,1.0024894000962377,1.0141446003690362,1.0141446003690362,1.0141446003690362,1.0141446003690362,1.0141446003690362,1.0141446003690362,1.0141446003690362,1.275228900834918,2,0.25088930036872625,None,,977705,001,2025-11-10_01h20.43.567,v3,,2025.1.1,239.847836470042,2025-11-10 01h20.45.678156 -0300,
1,0,1,,,,1,0,1,0,1.2766141006723046,,1.2753972001373768,1.2766141006723046,2.260000200010836,,,,,,,,,,,,,,,,,,,,,,
