thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,task.thisRepN,task.thisTrialN,task.thisN,task.thisIndex,thisRow.t,notes,wait.started,text.started,wait.stopped,trial.started,fondo.started,cam_light.started,cam_travel_time.started,cam_cost.started,cam_dens.started,cam_sec.started,key_resp.started,trial.stopped,task.key_resp.keys,task.key_resp.rt,task.key_resp.duration,text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,1,0.4082509996369481,None,0,0,0,0,0.07452569995075464,,0.06842099968343973,0.07452569995075464,0.203605099581182,0.2043082993477583,0.21608429960906506,0.21608429960906506,0.21608429960906506,0.21608429960906506,0.21608429960906506,0.21608429960906506,0.21608429960906506,0.6354701993986964,1,0.4082509996369481,None,,659071,001,2025-11-10_01h25.17.362,v3,,2025.1.1,240.0914266170144,2025-11-10 01h25.19.481585 -0300,
1,0,1,,,,1,0,1,0,0.636859399266541,,0.635644800029695,0.636859399266541,0.8202741993591189,,,,,,,,,,,,,,,,,,,,,,
